Область;Заражено;Активные случаи;Погибло;Выздоровело;Летальность;Восстановление;
Псковская область;6 349+75;1 906+54;67;4 376+21;1,06%-0,01;68,92%-0,49;
Новгородская область;6 264+65;2 025+19;90+3;4 149+43;1,44%+0,04;66,24%;
Костромская область;5 892+86;1 607+42;95;4 190+44;1,61%-0,03;71,11%-0,30;
Вологодская область;5 726+81;1 367+35;56+1;4 303+45;0,98%+0,01;75,15%-0,28;
Калининградская область;5 574+79;1 541+25;93+2;3 940+52;1,67%+0,01;70,69%-0,07;
Республика Марий Эл;5 416+50;794+29;61+2;4 561+19;1,13%+0,03;84,21%-0,43;
Республика Хакасия;5 373+75;840-2;61+7;4 472+70;1,14%+0,12;83,23%+0,14;
Амурская область;5 133+65;477-11;60;4 596+76;1,17%-0,01;89,54%+0,35;
Республика Алтай;5 079+119;1 419+64;12;3 648+55;0,24%;71,83%-0,61;
Республика Карелия;5 076+95;1 596+41;43+5;3 437+49;0,85%+0,09;67,71%-0,31;
Камчатский край;5 071+47;1 509-20;126+56;3 436+11;2,48%+1,09;67,76%-0,41;
Республика Адыгея;4 802+53;791+10;43+4;3 968+39;0,90%+0,08;82,63%-0,10;
Курганская область;4 775+72;753+31;59+3;3 963+38;1,24%+0,05;82,99%-0,47;
Магаданская область;3 674+49;883-10;63+31;2 728+28;1,71%+0,83;74,25%-0,23;
Чеченская Республика;2 522+5;431+2;44+1;2 047+2;1,74%+0,03;81,17%-0,08;
Севастополь;1 542+48;495+28;48+3;999+17;3,11%+0,10;64,79%-0,94;
Еврейская автономная область;1 378+29;555+28;20+1;803;1,45%+0,04;58,27%-1,26;
Ненецкий автономный округ;380+8;240+4;4+4;136;1,05%+1,05;35,79%-0,77;
Чукотский автономный округ;220+2;24+2;2;194;0,91%-0,01;88,18%-0,81;
