[Область]; [Заражено]; [Активные случаи]; [Погибло]; [Выздоровело]; [Летальность]; [Восстановление]; 
[]; [ 6 563]; [1 181]; [ 87]; [ 5 295]; [1,33%]; [ 80,68%]; 
[]; [ 6 463]; [1 398]; [ 72]; [ 4 993]; [1,11%]; [ 77,26%]; 
[]; [ 6 349]; [1 906]; [ 67]; [ 4 376]; [1,06%]; [ 68,92%]; 
[]; [ 6 264]; [2 025]; [ 90]; [ 4 149]; [1,44%]; [ 66,24%]; 
[]; [ 5 892]; [1 607]; [ 95]; [ 4 190]; [1,61%]; [ 71,11%]; 
[]; [ 5 726]; [1 367]; [ 56]; [ 4 303]; [0,98%]; [ 75,15%]; 
[]; [ 5 574]; [1 541]; [ 93]; [ 3 940]; [1,67%]; [ 70,69%]; 
[]; [ 5 416]; [794]; [ 61]; [ 4 561]; [1,13%]; [ 84,21%]; 
[]; [ 5 373]; [840]; [ 61]; [ 4 472]; [1,14%]; [ 83,23%]; 
[]; [ 5 133]; [477]; [ 60]; [ 4 596]; [1,17%]; [ 89,54%]; 
[]; [ 5 079]; [1 419]; [ 12]; [ 3 648]; [0,24%]; [ 71,83%]; 
[]; [ 5 076]; [1 596]; [ 43]; [ 3 437]; [0,85%]; [ 67,71%]; 
[]; [ 5 071]; [1 509]; [ 126]; [ 3 436]; [2,48%]; [ 67,76%]; 
[]; [ 4 802]; [791]; [ 43]; [ 3 968]; [0,90%]; [ 82,63%]; 
[]; [ 4 775]; [753]; [ 59]; [ 3 963]; [1,24%]; [ 82,99%]; 
[]; [ 3 674]; [883]; [ 63]; [ 2 728]; [1,71%]; [ 74,25%]; 
[]; [ 2 522]; [431]; [ 44]; [ 2 047]; [1,74%]; [ 81,17%]; 
[]; [ 1 542]; [495]; [ 48]; [ 999]; [3,11%]; [ 64,79%]; 
[]; [ 1 378]; [555]; [ 20]; [ 803]; [1,45%]; [ 58,27%]; 
[]; [ 380]; [240]; [ 4]; [ 136]; [1,05%]; [ 35,79%]; 
[]; [ 220]; [24]; [ 2]; [ 194]; [0,91%]; [ 88,18%]; 
